Name,Active?,Cohort,Created,Date,Description,Integrations,Prize,Submission Type,Tags
Stormbit,,UHI2,"September 16, 2024 7:51 PM",,Stormbit is multichain p2p lending protocol trust based aiming to bring more access to loans.,,,,"DeFi, Donations, KYC, zk-SNARK"
APR LinkHook,,UHI2,"September 16, 2024 8:22 PM",,Dynamic fee hook that moves swap fees to outperform the 'risk-free' ETH Staking base interest rate,,,,"Dynamic Fee, ETH Staking, base interest rate"
RaffleSwap,,UHI2,"September 16, 2024 8:56 PM",,"We collect a small premiums from each swap to a pot, and traders earn a chance to win the jackpot. When winner claims the prize, small portion will flow to the Hook as a fee and as bonus for LP. We aim to reduce chances of toxic order flow, when dynamic fee and external economical reward are not an option, by motivating volume from uninformed traders through raffling on each swap.",Chainlink,Uniswap Prize,,"Raffle, Trading Rewards"
Idle Liquidity Yield Earning Hook,,UHI2,"September 16, 2024 9:08 PM",,Depositing out-of-range liquidity into lending protocol to earn yield,Brevis,Brevis Prize,,"DeFi, LP Fees"
AutoDCASwapHook,,UHI2,"September 16, 2024 9:48 PM",,"This is a hook that enables DCA for cryptocurrency trading. It allows users to set up recurring trades at specified intervals, with customizable parameters such as frequency, duration, and price limits.",Chainlink,,,"DEX, DeFi, Order Type"
Dump No Fun,,UHI2,"September 16, 2024 10:06 PM",,"We implement a hook and an interface that allows anyone to launch a standardized token with locked liquidity. This hook prevents arbitrary customization, and also prevents 3rd party pool creators to attach this hook (to steal credibility).",,,,"DEX, DeFi, Security"
Hedgehog ALM,,UHI2,"September 16, 2024 10:24 PM",,"ALM is a Uniswap V4 NoOp hook that enhances LP performance by holding ETH as collateral on Morpho to earn interest. During price declines, it dynamically borrows USDC to acquire more ETH, offering a passive, ""set and forget"" strategy that provides enhanced returns compared to Uniswap V2.",Chainlink,,,"DEX, DeFi, LP Fees, Security, base interest rate"
DCLEX Hook,,UHI2,"September 16, 2024 10:31 PM",,A KYC Hook that can't be bypass by using ERC-6909 claim tokens. (modification in the token contract required),,,,"AML, Compliance, KYC, Security, Tokenized Stocks"
Levery,,UHI2,"September 16, 2024 10:49 PM",,Levery is an infrastructure that allows banks and financial institutions to create their own regulated DEX.,Chainlink,,,"AML, Compliance, Dynamic Fee, KYC, LP Fees"
UniASS,,UHI2,"September 16, 2024 11:21 PM",,"UniASS is an App-Specific Sequencer integrated as a Uniswap v4 hook that mitigates Miner Extractable Value (MEV) by batching user transactions, seeking Coincidences of Wants (CoWs), and executing optimized transaction batches.",EigenLayer,,,"DEX, DeFi, MEV"
Unicord,,UHI2,"September 16, 2024 11:47 PM",,UniCord is a Uniswap v4 noop hook that maximizes yield for stablecoin pools by deploying all liquidity to Morpho and implementing on-demand withdrawals for trades. It optimizes capital efficiency while ensuring liquidity availability.,,Uniswap Prize,,"DEX, DeFi, LP Fees"
TaxiSwap - Cross Chain Swaps,,UHI2,"September 16, 2024 11:55 PM",,Extension of the project that was a USDC bridge to a Cross Chain Token Swap tool,,,,"Cross-Chain, DEX, DeFi"
Dynamic Governance Liquidator,,UHI2,"September 17, 2024 1:00 AM",,Hook is a TWAMM extended with onchain governance that can be used to update or cancel the TWAMM order if a proposal is passed.,,,,"DeFi, Governance, delegates"
Mirror,,UHI2,"September 17, 2024 1:46 AM",,Mirror is uniswap hook designed to enable seamless copy trading.,"Brevis, Chainlink","Brevis Prize, Uniswap Prize",,"Copy Trading, DeFi, Dynamic Fee"
Crow,,UHI2,"September 17, 2024 2:53 AM",,Coincidence of wants,,,,DeFi
FWB TWAMM Hook,,UHI2,"September 17, 2024 3:02 AM",,"We're building a Time-Weighted Average Market Maker (TWAMM) that will allow DAOs, specifically FWB, to execute large purchases or sales of tokens with limited to no slippage",,,,Order Type
Auction Managed AMM,,UHI2,"September 17, 2024 3:17 AM",,"am-AMM is an AMM model that utilizes Uniswap v4 hooks to introduce an auction-based pool manager system, reducing losses from informed orderflow and maximizing revenue from uninformed orderflow. It aims to enhance AMM efficiency and profitability by combining dynamic fee setting with internalized arbitrage.",,,,"DeFi, Dynamic Fee, MEV"
Gasless Swaps,,UHI2,"September 17, 2024 3:18 AM",,This hook offers gasless swaps to traders by having them executed by a non-toxic MEV executor. Users only need to sign a EIP-712 like signature to send their order,,,,"DEX, DeFi, MEV, Order Type"
UniCow,,UHI2,"September 17, 2024 3:27 AM",,An actively validated service to enable Coincidence of Wants matching on any Uniswap v4 pool through v4 Hooks,EigenLayer,"EigenLayer Prize, Uniswap Prize",,"CoW, Coincidence of Wants, EigenLayer"
Multihook,,UHI2,"September 17, 2024 3:30 AM",,Adapter for subhooks. Allows you to combine multiple hooks into one,,Uniswap Prize,,"DeFi, Donations, Dynamic Fee, KYC, Security"
LST Rebalancer Hook,,UHI2,"September 17, 2024 4:22 AM",,"This system enables just-in-time (JIT) liquidity provisioning for large LST swaps, offering zero slippage to traders while maintaining standard fees. By automatically detecting large swap transactions and temporarily providing liquidity, it benefits both traders (through better execution) and liquidity providers (through increased yields with lower risk), while collecting a 5bps fee on each large swap.",,,,"DeFi, LP Fees, MEV, Trading Volume Rewards"
Smart $M + Uniswap V4 Rewards Hook,,UHI2,"September 17, 2024 4:34 AM",,"The POC of the hook I built is required for my current project with M^0 Labs. https://x.com/m0foundation.  $M is a stablecoin and wrapped $M is The POC of the hook I built is required for my current project with M^0 Labs. https://x.com/m0foundation.  $M is a stablecoin and wrapped $M is a wrapper contract for it. This wrapper maintains a 1:1 rate with $M and offers Earners yield. Eraners can periodically claim their yield. Additionally, smart contracts like Pool Manager can be added to the $M earning list. All $M that is held within it will earn an earning rate.  This rate will be distributed further between LPs based on their shares of liquidity.",,,,"DeFi, Trading Rewards"
Range Orders Hook,,UHI2,"September 17, 2024 4:46 AM",,Automated range orders for LPs,,,,"DeFi, Order Type, Security"
Chronus,,UHI2,"September 17, 2024 5:29 AM",,Auction managed AMM allowing to strategists compete by predicting onchain volatility,,,,"DEX, DeFi, Dynamic Fee, LP Fees, MEV"
Gacha Hook,,UHI2,"September 17, 2024 5:48 AM",,"The Gacha Hook addresses high entry barriers, illiquidity, and inefficient revenue models in the NFT market by enabling fractionalization and cross-chain support for a more accessible and dynamic trading experience.",Chainlink,,,"CCIP, Cross-Chain, DEX, DeFi, Raffle, Security"
Reputation Hook - MetaPools,,UHI2,"September 17, 2024 6:00 AM",,Reputation Hook project is where giving identities to traders globally,"Brevis, Chainlink, EigenLayer","Brevis Prize, Chainlink Prize",,"Custom hooks, Inter-Connected Pools, MetaPools, Reputation"
Compliant DEX,,UHI2,"September 17, 2024 6:14 AM",,A decentralised exchange built over the Uniswap V4 protocol and enhanced with PureFi’s compliance hooks,,,,"AML, Compliance, DEX, DeFi, KYC"
CCIP swap,,UHI2,"September 17, 2024 6:44 AM",,"The idea behind project is to utlize the freedom of CCIP and uniswap V4 hooks, to create pool that have native cross chain swap",Chainlink,,,"CCIP, Cross-Chain, DEX, DeFi"
Milady Pool,,UHI2,"September 17, 2024 6:53 AM",,A private platform where users trade crypto without disclosing intentions to a wider market.,EigenLayer,"EigenLayer Prize, Uniswap Prize",,"Custom Routers, Custom hooks, DEX, EigenLayer, Order Type, zk-SNARK"
Steelo.io,,UHI2,"September 17, 2024 6:56 AM",,"Steelo is a web3 social media mobile app helping creators turn fans into investors through self-tokenisation, token-gated experiences and value-redistributing tokenomics.",,,,"Coincidence of Wants, DEX, DeFi, Dynamic Fee, ETH Staking, Governance, KYC, Order Type, Security, Tokenized Stocks, Trading Rewards, Trading Volume Rewards, base interest rate, zk-SNARK"
KYC Hook,,UHI2,"September 17, 2024 7:06 AM",,We develop a hook providing KYC controls on access to UniswapV4 liquidity pools.,"Brevis, Chainlink",Brevis Prize,,"AML, Compliance, DEX, DeFi, KYC, Regulation"
DegenSwap,,UHI2,"September 17, 2024 7:08 AM",,Gamble up to 100% of any v4 swap on a double or nothing,Chainlink,,,DeFi
LPDAO - Hedge Fund in a Hook,,UHI2,"September 17, 2024 7:29 AM",,"LPDAO allows LPs to pool their funds and elect a fund manager to manage their funds in a trustless manner. The fund manager only gets paid if they actually return a profit, so incentives are aligned.",,,,"Custom hooks, Donations, Dynamic Fee"
PointPool: Gamified Liquidity Provision for Uniswap V4,,UHI2,"September 17, 2024 7:45 AM",,"PointPool is a gamification layer built on top of Uniswap V4, introducing a point system, levels, badges, challenges, and quests to incentivize liquidity provision and trading. It aims to enhance user engagement in DeFi by transforming routine activities into rewarding experiences.",Chainlink,,,Dynamic Fee
Omni Incentive Hook,,UHI2,"September 17, 2024 7:48 AM",,All-in-one incentivization for a balanced ecosystem,,,,"Liquidity Mining, Pool Native Incentivization, Trading Volume Rewards"
DAMM (dynamic amm),,UHI2,"September 17, 2024 7:49 AM",,Charge dynamic pool fees based on swappers preferences of what they are willing to pay in the next block & charge higher fees for txs identified as MEV.,,,,"DEX, Dynamic Fee, LP Fees, MEV, Trading Rewards"
CoWSwap,,UHI2,"September 17, 2024 7:51 AM",,"CoW hook uses smart indexing engine, which is able to match existing orders if there is a Coincidence of Wants. In order to achieve end-to-end trustless flow, it uses Brevis as a verifiability layer. If there is no CoW after certain blocks (specified by user), trade will be executed through AMM regularly.",Brevis,,,"CoW, Coincidence of Wants, MEV"
RWEventHook - DynamicFee,,UHI2,"September 17, 2024 7:56 AM",,Real World Event Hooks to attract liquidity for RWA token pools,Chainlink,,,"Custom hooks, DEX, DeFi, Dynamic Fee"
Simulated Limit Order,,UHI2,"September 17, 2024 7:56 AM",,"I upgraded the ""take profit"" limit order from the course with simulated swaps",,,,DeFi
LVR & IL Hedge Hook: Dynamic Fees + Delta-Gamma Neutrality,,UHI2,"September 17, 2024 7:58 AM",,"Hook to try to bring DeFi to a close Risk Neutral State, making fees more fair for LPs and facilitating dynamic hedging strategies.","Brevis, Chainlink, EigenLayer","Chainlink Prize, Uniswap Prize",,"DeFi, Dynamic Fee, LP Fees"
Uniq: RWA Assets with Volatility-Based Dynamic Fees,,UHI2,"September 17, 2024 8:24 AM",,"UniqHook dynamic fees can enhances liquidity, reduces volatility and protects liquidity providers, especially when dealing with RWA-backed tokens.","Brevis, Chainlink","Brevis Prize, Chainlink Prize",,"DEX, DeFi, LP Fees, Trading Volume Rewards"
Nezlobin Directional Fee,,UHI2,"September 17, 2024 8:28 AM",,It's basic Nezlobin directional fee hook,,,,"Dynamic Fee, LP Fees"
Depeg protection Hook,,UHI2,"September 17, 2024 9:05 AM",,protecting LP provider from a depegging event on a pegged assets pool with chainlink pricefeeds,Chainlink,,,"Custom hooks, DeFi"
Crow,,UHI2,"September 18, 2024 7:20 AM",,Coincidence of wants,,,,"CoW, Coincidence of Wants, DEX, DeFi"
DiamondX,,UHI1,"September 21, 2024 5:59 AM",,Innovative Liquidity Solutions for Precious Gems,,,,"Constant Product Market Maker (CPMM), Constant Sum Market Maker (CSMM), LAMMBert"
V4-orderbook,,UHI1,"September 21, 2024 6:09 AM",,Limit order hook for Uniswap with intent-based orderbook.,EigenLayer,EigenLayer Prize,,"DEX, Order Type"
FlexFee,,UHI1,"September 21, 2024 6:12 AM",,Protecting LPs from impermanent loss using dynamic fees based on volatility (calculated with Brevis) and swap size,"Brevis, EigenLayer",Brevis Prize,,
Squared,,UHI1,"September 21, 2024 6:15 AM",,Access leverage on any token.,,,,"CFMM, NoOp"
AutoMate,,UHI1,"September 21, 2024 6:18 AM",,Foodpanda for your on-chain tasks,,,,NoOp
Oolong.xyz,,UHI1,"September 21, 2024 6:21 AM",,"Trade on Uniswap V4 with up to 5x leverage. For LP, earn extra yield from lending and liquidation fees. Built on Uniswap V4 Hooks. The fastest way to 5x any token.",Chainlink,,,LP Liquidity
Ampli,,UHI1,"September 21, 2024 6:22 AM",,"A permissionless, self-custodial margin protocol with protocol provided liquidity built on top of Uniswap v4",,,,DeFi
UniCast,,UHI1,"September 21, 2024 6:22 AM",,A forward-look event hook for LSTs and yield-bearing tokens.,,Uniswap Prize,,
Advanced Orders,,UHI1,"September 21, 2024 6:22 AM",,"Advanced Orders Hook to create Stop Loss, Buy Stop, Buy Limit and Take Profit Orders",EigenLayer,,,
Timelock Addition to the Points Loyalty Repo,,UHI1,"September 21, 2024 6:22 AM",,Lock-down Incentivized Liquidity using a beforeRemoveLiquidity hook to ensure sufficient time has passed,,,,
StableSwap,,UHI1,"September 21, 2024 6:22 AM",,NoOp hook with full functionality of Curve-liked AMM,,,,
Concentrated Incentives Hook,,UHI1,"September 21, 2024 6:22 AM",,Transparent & Optimal Incentives in V4 by incentivizing only the active tick,,Uniswap Prize,,
LBP Hook,,UHI1,"September 21, 2024 6:22 AM",,Permissionless LBP sales for everyone,,,,NoOp
Auto Compound,,UHI1,"September 21, 2024 6:41 AM",,Auto Compound is a hook which is designed to reinvest the earned fee back to LP position using uniswap's v4 hooks. This allows LP providers to increase the yield depending on their LP positions.,,,,
LiquidityLock,,UHI1,"September 21, 2024 6:42 AM",,Incentivize Liquidity Locks for any Uniswapv4 pool.,,,,
Fidelity Hook,,UHI1,"September 21, 2024 6:43 AM",,Market competitive pools with fee reductions,"Brevis, EigenLayer",Brevis Prize,,
Lumis,,UHI1,"September 21, 2024 6:43 AM",,Hook-based options & Liquidity-as-a-service,"Brevis, EigenLayer",Brevis Prize,,
LoyalSwap,,UHI1,"September 21, 2024 6:43 AM",,Loyal fees for loyal users,,,,
FairLaunchoor,,UHI1,"September 21, 2024 6:43 AM",,Launch your token in a permissionless trustless cyberpunk and most importantly fair way,,,,
Dortfolio,,UHI1,"September 21, 2024 6:43 AM",,Turn any portfolio into a token,,,,
UniMarket,,UHI1,"September 21, 2024 6:43 AM",,Prediction Market built on a hook,EigenLayer,Uniswap Prize,,
Levery,,UHI1,"September 21, 2024 6:43 AM",,Regulatory compliant DEX infrastructure oriented on toxic arbitrage mitigation.,,,,
MEV Auction Hook,,UHI1,"September 21, 2024 6:43 AM",,Reduce MEV spreads and impermanent loss natively through swaps,EigenLayer,EigenLayer Prize,,
Internal Swap Pool Hook,,UHI1,"September 21, 2024 6:43 AM",,"Convert accumulated token fees before `donate`, whilst avoiding slippage and pool price change",,Uniswap Prize,,
Liquidity Bet Hook,,UHI1,"September 21, 2024 6:43 AM",,This hook brings a new way to bet on the future liquidity of specific pools,,,,
Simple LP Rebalancer,,UHI1,"September 21, 2024 6:43 AM",,100% capital efficiency for LPs,,,,
Trailing Hook,,UHI1,"September 21, 2024 6:43 AM",,Create a trailing stop directly in a hook,,,,
am-AMM hook,,UHI1,"September 21, 2024 6:43 AM",,"am-AMM: An auction-managed AMM that enhance price discovery, reduce impermanent loss, and offer more liquidity in equilibrium than any standard, fixed-fee AMM.",,,,
Realized Volatility Based Dynamic Fee Hook,,UHI1,"September 21, 2024 6:43 AM",,A Uniswap V4 Hook taking SNARK Verified Realized Volatility data of ETH/USDC acrosses DEXes to determine real time fee,,,,
Leap,,UHI1,"September 21, 2024 6:43 AM",,Tokenize and Fund Everything,,,,
Auction-managed perpetual options,,UHI1,"September 21, 2024 6:43 AM",,Perpetual options offering leverage on any token,,,,
Catapoolt,,UHI1,"September 21, 2024 6:43 AM",,Gamified Liquidity Mining,"Brevis, EigenLayer",Brevis Prize,,
Fungi Hook,,UHI1,"September 21, 2024 6:43 AM",,Make ranges fungible,,,,
Liquidity Mining on V4,,UHI1,"September 21, 2024 7:18 AM",,Enables any token rewards based on price in the range and liquidity amount,,,,
ember: Volatility-Based Dynamic Fees,,UHI3,"December 6, 2024 8:31 PM",,High volatility on AMMs causes losses for LPs due to reduced fees during low volatility and exiting lp ranges during high volatility.  Ember is a Uniswap V4 hook backed by an Arbitrum Stylus volatility calculator that stabilizes volatility by applying high fees to swaps that cause high volatility and low fees to swaps that lower volatility.,"Arbitrum, Brevis",Arbitrum Prize,,"Arbitrum Stylus, Custom hooks, DEX, DeFi, Dynamic Fee, LP Fees, LP Liquidity, MEV, Pool Native Incentivization, Trading Rewards, Trading Volume Rewards"
Whitelist Access Hook,,UHI3,"December 6, 2024 9:14 PM",,"A hook designed to restrict pool access exclusively to pre-approved users who have successfully completed a verification process. Using a “whitelist” mechanism, the system ensures that only verified users are granted access, enhancing security and ensuring controlled participation.",,,,"Compliance, KYC, Regulation, Security"
Liquidity Rewards,,UHI3,"December 6, 2024 9:16 PM",,"This project uses Brevis to generate ZK-Proofs verifying that Liquidity Providers (LPs) have contributed at least 5000 USDC to a pool, unlocking cross-platform benefits in DeFi ecosystems. By integrating this with Unichain, it incentivizes liquidity contributions to the ecosystem.",Brevis,Brevis Prize,,"DeFi, Dynamic Fee, LP Liquidity, zk-SNARK"
UniLaas: Liquidity-as-a-Service Uniswap V4 Hook,,UHI3,"December 7, 2024 2:27 AM",,"a decentralized, permissionless perpetual options trading contract built on Uniswap V4. It combines auction-based pricing mechanisms with perpetual options to allow traders to speculate on price movements of assets, such as ETH, without expiration dates and while employing leverage.",,,,LP Fees
Dynamic Tick Adjustor,,UHI3,"December 7, 2024 3:35 AM",,"The Dynamic Tick Hook is a Uniswap V4 liquidity optimization solution that dynamically adjusts liquidity ranges based on market conditions, maximizing fee generation and minimizing manual effort for LPs by automating reinvestments and ensuring efficient fund utilization.","Brevis, EigenLayer",,,Dynamic Tick Adjustment
Autopilot Hook,,UHI3,"December 7, 2024 3:37 AM",,"Autopilot Hook is a Uniswap V4 hook designed to dynamically adjust fees based on market volatility using Machine Learning. By forecasting periods of high volatility, the system helps protect liquidity providers from impermanent loss. During low volatility, it lowers fees to incentivize trading activity.","Arbitrum, Brevis",Brevis Prize,,"Arbitrum Stylus, Dynamic Fee, Machine Learning"
SwapSlots,,UHI3,"December 7, 2024 7:33 AM",,"SwapSlots is a Uniswap V4 hook that combines DeFi trading with the thrill of a slot machine. Every swap on the pool gives traders a chance to spin the reels and win rewards. If you hit the jackpot, you could win a portion of the pool fees to offset your transaction costs.  If luck isn’t on your side, your slot contribution is collected and distributed to liquidity providers (LPs), ensuring a fair and engaging incentive system for all participants",Chainlink,,,Gamefi
UniGuard,,UHI3,"December 7, 2024 9:12 AM",,Risk management and Insurance mechanisms for Uniswap hooks,"Brevis, EigenLayer",EigenLayer Prize,,"Compliance, EigenLayer, Governance, Reputation, Security"
Gainswap: Impermanent Gain,,UHI3,"December 7, 2024 9:36 AM",,"This project aims to enable liquidity borrowing for short-selling impermanent loss, effectively transforming it into impermanent gain!",Chainlink,Uniswap Prize,,"DEX, LP Fees, LP Liquidity, Option"
MEV Profits Redistribute,,UHI3,"December 7, 2024 9:55 AM",,"Our project introduces a Uniswap v4 hook designed to capture and redistribute Maximal Extractable Value (MEV) profits directly to liquidity providers (LPs), ensuring a fairer and more equitable DeFi ecosystem. By integrating this hook, MEV gains are systematically allocated to LPs, enhancing their returns and promoting a more balanced distribution of value within the protocol.",,,,MEV
Dynamic Fee,,UHI3,"December 7, 2024 4:37 PM",,A hook that keep track of the moving average gas price over time onchain,,,,"Dynamic Fee, Dynamic Tick Adjustment"
Best fees hook,,UHI3,"December 7, 2024 4:54 PM",,Efficient fees based on market conditions,Chainlink,,,Dynamic Fee
Net Volume Oracle,,UHI3,"December 7, 2024 5:17 PM",,An oracle that allows you to query the volume of tokens traded in a pool.,,,,"DEX, DeFi, Liquidity Mining, Trading Rewards, Trading Volume Rewards"
Crosschain Dropper,,UHI3,"December 7, 2024 5:34 PM",,The airdrop hook which gives 5% extra output tokens after successful swap. We have also integrated with chainlink CCIP that does cross-chain airdrops.,Chainlink,,,"Cross-Chain, Trading Rewards, Trading Volume Rewards"
UniStake,,UHI3,"December 7, 2024 7:18 PM",,"UniStake brings Sanctum's successful multi-LST model to Ethereum, enabling one-transaction conversion and staking of liquid staking tokens through Uniswap v4 and EigenLayer integration.","Chainlink, EigenLayer",,,"CCIP, Cross-Chain, DeFi, Dynamic Fee, ETH Staking, EigenLayer, LP Fees, LP Liquidity"
HourVault,,UHI3,"December 7, 2024 7:31 PM",,"Hour introduces time-locked liquidity via Uniswap v4 hooks, ensuring sustainable token launches and aligning long-term project and investor interests.","Arbitrum, Chainlink",,,"CCIP, Cross-Chain, Custom hooks, DeFi"
Brain.fun,,UHI3,"December 7, 2024 7:53 PM",,Launch sentient tokens with cash flows and ability to manage treasuries.,,,,"Machine Learning, NoOp"
Silicon Vision Fund,,UHI3,"December 7, 2024 8:02 PM",,"Silicon Vision Fund is a V4 hook for launching AI-managed hedge funds. We make the hedge fund fun, flexible, and transparent by allowing users to suggest portfolio compositions to the AI fund manager.",,Uniswap Prize,,"Custom hooks, DEX, DeFi, LP Liquidity, Machine Learning"
JIT-LiquiLend-Hook,,UHI3,"December 7, 2024 8:54 PM",,JIT-LiquiLend-Hook is a DeFi solution that optimizes liquidity efficiency by deploying liquidity only when needed for swaps on Uniswap V4 and earning passive yields by lending idle liquidity to Aave.,EigenLayer,,,"Custom Routers, DeFi, Dynamic Tick Adjustment, EigenLayer, LP Fees, LP Liquidity, Liquidity Mining"
Loyalty Points Fee Hook,,UHI3,"December 7, 2024 9:14 PM",,discount on swap fees based on swap volume.,Arbitrum,,,"Dynamic Fee, Trading Rewards"
IDHook,,UHI3,"December 7, 2024 9:17 PM",,"IDHook utilizes uniswapV4 to redefine token drop launch, rather than rewarding indiscriminately tokens are giving to active onchain participant of specific pools .",,,,Trading Rewards
SocialPool,,UHI3,"December 7, 2024 10:28 PM",,"SocialPool enables markets to leverage social data for price forecasts, volatility metrics and asset automation using curated public data from tens of thousands of crypto Telegram groups.",EigenLayer,,,"DEX, DeFi, EigenLayer, LP Fees, LP Liquidity, Liquidity Mining, MEV, Machine Learning, Security, Trading Volume Rewards"
OracleX: On-Chain Data to Synthetic Assets,,UHI3,"December 7, 2024 10:41 PM",,"A specialized hook allowing users to lock collateral assets and mint synthetic tokens tied to oracle-fed market data, all within the Uniswap ecosystem.",Chainlink,,,"DeFi, Oracle, RWA, Tokenized Stocks"
museumHook,,UHI3,"December 7, 2024 11:45 PM",,"Minting reward tokens to purchaser of base tokens, to enhance sales of base token.",,,,Trading Rewards
Nevo.network,Active,UHI3,"December 8, 2024 12:49 AM",,Decentralized p2p fiat exchange on hooks,,,Hook Incubator (UHI),"AML, Custom Routers, Custom hooks, DEX, DeFi, Donation, Donations, Dynamic Fee, Governance, KYC, LP Fees, LP Liquidity, Liquidity Mining, Oracle, Security, Tokenized Stocks, Trading Rewards, Trading Volume Rewards"
lp-yield-spike,,UHI3,"December 8, 2024 12:52 AM",,Introduce an additional source of income by adding a gamification layer on top of the existing incentives. This new layer would further motivate LPs to optimize their provision strategies and stay actively engaged.,Chainlink,,,"Dynamic Fee, LP Fees, LP Liquidity, Raffle"
PerpDexHook,,UHI3,"December 8, 2024 12:59 AM",,My hook enables every CLMM/AMM to become a mini perp dex where traders can rent underlying liquidity to take leveraged directional trades.,Chainlink,Uniswap Prize,,"DEX, DeFi, LP Fees, LP Liquidity"
Options Hook,,UHI3,"December 8, 2024 1:20 AM",,"OptionsHook is a decentralized smart contract framework that allows users to create and manage options trading workflows. The workflow consists of three main steps: Place Option, Book Option, and Execute Option. This framework is designed to offer more protection for the volatity of digital assets.",,,,"Cross-Chain, MEV, NoOp, Security, Tokenized Stocks"
VotingHook,,UHI3,"December 8, 2024 1:34 AM",,VotingHook allows LP holders to cast votes using the underlying governance tokens held by the pool,,,,"Custom Routers, Custom hooks, DeFi, Governance, delegates"
Fixed/Leverage Yield Hook,,UHI3,"December 8, 2024 1:51 AM",,"Transforming standard LP shares into a dual-class system, balancing guaranteed returns against leveraged speculation",,Uniswap Prize,,"Custom hooks, DeFi, Dynamic Fee, LP Fees"
ViFi,,UHI3,"December 8, 2024 2:07 AM",,"Institutional stablecoin adoption in Africa and LATAM has soared to over $540bn annually but fragmented liquidity and FX price uncertainty drives this volume to P2P markets and OTC desks. ViFi is a decentralized stablecoin protocol that combines local stablecoins and deep DeFi liquidity to enable businesses realize the best FX rate, at any volume.",,Uniswap Prize,,"DeFi, Stablecoins, zk-SNARK"
